charge_depth_mAh_cm2,tau_s,gamma_ohm
0.13322,1.004200e-01,1.062992e+02
0.13322,1.126731e-01,1.140126e+02
0.13322,1.264213e-01,1.222750e+02
0.13322,1.418470e-01,1.310895e+02
0.13322,1.591549e-01,1.404555e+02
0.13322,1.785748e-01,1.503690e+02
0.13322,2.003642e-01,1.608224e+02
0.13322,2.248123e-01,1.718049e+02
0.13322,2.522436e-01,1.833027e+02
0.13322,2.830220e-01,1.952994e+02
0.13322,3.175559e-01,2.077758e+02
0.13322,3.563035e-01,2.207107e+02
0.13322,3.997791e-01,2.340813e+02
0.13322,4.485596e-01,2.478632e+02
0.13322,5.032921e-01,2.620311e+02
0.13322,5.647030e-01,2.765588e+02
0.13322,6.336072e-01,2.914201e+02
0.13322,7.109190e-01,3.065886e+02
0.13322,7.976643e-01,3.220385e+02
0.13322,8.949940e-01,3.377443e+02
0.13322,1.004200e+00,3.536815e+02
0.13322,1.126731e+00,3.698269e+02
0.13322,1.264213e+00,3.861582e+02
0.13322,1.418470e+00,4.026545e+02
0.13322,1.591549e+00,4.192965e+02
0.13322,1.785748e+00,4.360663e+02
0.13322,2.003642e+00,4.529473e+02
0.13322,2.248123e+00,4.699248e+02
0.13322,2.522436e+00,4.869850e+02
0.13322,2.830220e+00,5.041159e+02
0.13322,3.175559e+00,5.213065e+02
0.13322,3.563035e+00,5.385474e+02
0.13322,3.997791e+00,5.558299e+02
0.13322,4.485596e+00,5.731466e+02
0.13322,5.032921e+00,5.904911e+02
0.13322,5.647030e+00,6.078577e+02
0.13322,6.336072e+00,6.252417e+02
0.13322,7.109190e+00,6.426391e+02
0.13322,7.976643e+00,6.600464e+02
0.13322,8.949940e+00,6.774609e+02
0.13322,1.004200e+01,6.948803e+02
0.13322,1.126731e+01,7.123028e+02
0.13322,1.264213e+01,7.297272e+02
0.13322,1.418470e+01,7.471524e+02
0.13322,1.591549e+01,7.645779e+02
0.16653,1.591549e-07,0.000000e+00
0.16653,1.785748e-07,0.000000e+00
0.16653,2.003642e-07,0.000000e+00
0.16653,2.248123e-07,0.000000e+00
0.16653,2.522436e-07,0.000000e+00
0.16653,2.830220e-07,0.000000e+00
0.16653,3.175559e-07,0.000000e+00
0.16653,3.563035e-07,0.000000e+00
0.16653,3.997791e-07,0.000000e+00
0.16653,4.485596e-07,0.000000e+00
0.16653,5.032921e-07,0.000000e+00
0.16653,5.647030e-07,0.000000e+00
0.16653,6.336072e-07,0.000000e+00
